Город;year;fact;Модель;Нижняя граница;Верхняя граница
Белокуриха;2000;NA;15400;15100;15700
Белокуриха;2001;NA;15400;15100;15700
Белокуриха;2002;NA;15400;15000;15700
Белокуриха;2003;NA;15300;15000;15700
Белокуриха;2004;NA;15300;14900;15600
Белокуриха;2005;NA;15200;14800;15500
Белокуриха;2006;NA;15100;14700;15400
Белокуриха;2007;NA;15000;14600;15300
Белокуриха;2008;14781;14900;14600;15200
Белокуриха;2009;14781;14800;14500;15100
Белокуриха;2010;14701;14700;14400;15100
Белокуриха;2011;14516;14700;14400;15000
Белокуриха;2012;14375;14700;14400;15000
Белокуриха;2013;14435;14700;14400;15000
Белокуриха;2014;14701;14700;14400;15000
Белокуриха;2015;14974;14700;14400;15100
Белокуриха;2016;15168;14800;14500;15100
Белокуриха;2017;15221;14900;14500;15200
Белокуриха;2018;15170;14900;14600;15300
Белокуриха;2019;15176;15000;14700;15400
Белокуриха;2020;15176;15100;14800;15500
Белокуриха;2021;NA;15200;14900;15600
Белокуриха;2022;NA;15300;15000;15700
Белокуриха;2023;NA;15400;15100;15800
Белокуриха;2024;NA;15600;15200;15900
Белокуриха;2025;NA;15700;15300;16000
Белокуриха;2026;NA;15800;15500;16100
Белокуриха;2027;NA;15900;15600;16200
Белокуриха;2028;NA;16000;15700;16300
Белокуриха;2029;NA;16100;15800;16500
Белокуриха;2030;NA;16200;15900;16600
Белокуриха;2031;NA;16300;16000;16700
Белокуриха;2032;NA;16500;16100;16800
Белокуриха;2033;NA;16600;16200;16900
Белокуриха;2034;NA;16700;16300;17000
Белокуриха;2035;NA;16800;16500;17100
Белокуриха;2036;NA;16900;16600;17200
Белокуриха;2037;NA;17000;16700;17300
Белокуриха;2038;NA;17100;16800;17500
Белокуриха;2039;NA;17200;16900;17600
Белокуриха;2040;NA;17300;17000;17700
Белокуриха;2041;NA;17400;17100;17800
Белокуриха;2042;NA;17500;17200;17900
Белокуриха;2043;NA;17700;17300;18000
Белокуриха;2044;NA;17800;17400;18100
Белокуриха;2045;NA;17900;17500;18200
Белокуриха;2046;NA;18000;17600;18300
Белокуриха;2047;NA;18100;17800;18400
Белокуриха;2048;NA;18200;17900;18600
Белокуриха;2049;NA;18300;18000;18700
Белокуриха;2050;NA;18400;18100;18800
Белокуриха;2051;NA;18600;18200;18900
Белокуриха;2052;NA;18700;18300;19000
Белокуриха;2053;NA;18800;18400;19100
Белокуриха;2054;NA;18900;18600;19300
Белокуриха;2055;NA;19000;18700;19400
Белокуриха;2056;NA;19200;18800;19500
Белокуриха;2057;NA;19300;18900;19600
Белокуриха;2058;NA;19400;19000;19800
Белокуриха;2059;NA;19500;19200;19900
Белокуриха;2060;NA;19600;19300;20000
Белокуриха;2061;NA;19800;19400;20100
Белокуриха;2062;NA;19900;19500;20300
Белокуриха;2063;NA;20000;19700;20400
Белокуриха;2064;NA;20200;19800;20500
Белокуриха;2065;NA;20300;19900;20600
Белокуриха;2066;NA;20400;20100;20800
Белокуриха;2067;NA;20500;20200;20900
Белокуриха;2068;NA;20700;20300;21000
Белокуриха;2069;NA;20800;20400;21200
Белокуриха;2070;NA;20900;20600;21300
Белокуриха;2071;NA;21100;20700;21400
Белокуриха;2072;NA;21200;20800;21600
Белокуриха;2073;NA;21300;21000;21700
Белокуриха;2074;NA;21400;21100;21800
Белокуриха;2075;NA;21600;21200;21900
Белокуриха;2076;NA;21700;21300;22100
Белокуриха;2077;NA;21800;21500;22200
Белокуриха;2078;NA;21900;21600;22300
